restaurant_id,restaurant_type,restaurant_name,restaurant_address,coordinates_lat,coordinates_long,restaurant_rating,restaurant_reviews,restaurant_zip
Xf6e3HaP0AgMBxY7dEDkOA,Chinese,99 Favor Taste,'285 Grand St',40.7176199,-73.99249,4.0,1720,10002
Aux2Mp7bGnF3S6h60ab3iQ,Chinese,Yummy City,'1557 Lexington Ave',40.7879244458184,-73.948986355818,4.0,43,10029
olRNNJCJ2TJvPRmjBiOcGA,Chinese,Silky Kitchen,'137 E 13th St',40.73297,-73.98829,4.5,185,10003
uaFHoq-a5XqxF-bsOK9_Qg,Chinese,Real Kung Fu Little Steamed Buns Ramen,'811 8th Ave',40.7616286634162,-73.9868181646996,3.5,960,10019
bnDfFdiCcPzhuNWUJORvLQ,Chinese,Noodle Village,'13 Mott St',40.714167,-73.998803,4.0,1023,10013
R7EGjHWw0tNheY6-ahH8fQ,Chinese,Tuome,'536 E 5th St',40.72412482724,-73.9828906263924,4.5,463,10009
AvTezlpt3GXTdSEnXbHP4w,Chinese,Fatima's Halal Kitchen,'25-25 Broadway',40.7631186084319,-73.9275405041124,4.0,375,11106
nI1UYDCYUTt23TpGxqnLKg,Chinese,Buddakan,'75 9th Ave',40.7422762672197,-74.0048000961542,4.0,3858,10011
R26zweQ8-xoZS7iHkXQOvw,Chinese,Shanghai 21,'21 Mott St',40.7144199,-73.99889,4.0,1586,10013
KSleHGTG1yL1E7OEFFPoNQ,Chinese,LaoMa Spicy,'58 E 8th St',40.7308968437954,-73.9934402704239,4.0,115,10003
rEbwps11tIERRkwQrIXQog,Chinese,Hakkasan,'311 W 43rd St',40.758619,-73.989961,3.5,885,10036
l1nX-f46dmOEmYPoiuLSaw,Chinese,Peking Duck House,'236 E 53rd St',40.756912,-73.968109,3.5,424,10022
SBJHGtqJyfaU47NPjGAU6A,Chinese,China Jade,'1643 2nd Ave',40.77747,-73.95239,3.5,135,10028
Gd3_3mxOvj2xYiqysV8rbQ,Chinese,Xi'an Famous Foods,'81 St Marks Pl',40.72782,-73.98551,4.0,1575,10003
6kCo3xb87Sc3Aa5ZSWzNnw,Chinese,Kung Fu Kitchen,'610 8th Ave',40.7555654203146,-73.9907654374838,3.5,374,10018
sQw7aEos_0FmO0UFtrJokg,Chinese,Clay Pot - West Village,'270 Bleeker St',40.73138,-74.00319,4.5,41,10014
6QAE-LRmL3OEsHXGT9kuNw,Chinese,Thy’s Noodles,'97 Lexington Ave',40.7419297393756,-73.9827849547527,4.5,64,10010
unz_YBwCWg-O5id5rxSyDA,Chinese,Szechuan Garden,'251 E 53rd St',40.7570698,-73.9674267,3.5,176,10022
Bb0h5Rs8ugSM2CjulRhfBw,Chinese,Spicy Moon,'328 E 6th St',40.72674,-73.98722,4.5,183,10003
VG0XPr9jSrgd8p5WPD1HaQ,Chinese,Ollies To Go,'307 E 77th St',40.771918,-73.955451,3.5,22,10075
ynB8T3htx8s5V0YV8gVPGA,Chinese,21 Shanghai House,'21 Division St',40.7140138244835,-73.9964454932541,4.0,419,10002
B7bxdtvLYR7Nmex4AIFd4w,Chinese,RedFarm,'2170 Broadway',40.782051,-73.980415,3.5,583,10024
JaKLZrh1Y_2qB_0Gc3bk3A,Chinese,Ollie's Sichuan,'411 W 42nd St',40.75884,-73.99319,3.0,473,10036
3ESDUFulPVoMJdsqPQGm0A,Chinese,Golden City Chinese Restaurant,'423 9th Ave',40.753277148143,-73.996643608314,3.5,81,10001
R3UNnA8EbjhNWBHS0wJ0VA,Chinese,Grand Sichuan Eastern,'1049 2nd Ave',40.75831,-73.96636,3.5,242,10022
a93NwZxjkPQydJxR42oPyg,Chinese,Grain House,'929 Amsterdam Ave',40.800127673827,-73.9657538384199,4.0,56,10025
ynIx549QFj29o84y1RSGyw,Chinese,Bao Bao Cafe,'61 Lexington Ave',40.740829,-73.983474,4.0,437,10010
Nt3Y26a6OMtdBe8xMMJjqQ,Chinese,Mee Noodle Shop & Grill,'930 2nd Ave',40.754463,-73.968518,3.5,287,10022
WRRs3smfm6rHP5k4Slzr3w,Chinese,Hop Won Restaurant,'139 E 45th St',40.75322,-73.97399,3.0,148,10017
x64xHVZoQj1ZOjzPqVprkw,Chinese,Little Tong Noodle Shop,'177 1st Ave',40.72937,-73.98424,4.0,250,10003
vZgJyMZlpSSS_Y-duxd4_A,Chinese,Kings Co Imperial,'20 Skillman Ave',40.71512,-73.95097,4.0,271,11211
